Time (sec),Run Time (sec),Heater Set (C),Heater Duty (0-1),Filament Feed Rate Set (RPS),Spool Wind Rate Set (RPS),Spool Duty (0-1),Wind B-F Speed (PPS),Filament Diameter Set (mm),Heater Actual (C),Filament Feed Rate Actual (RPS),Spool Wind Rate Actual (RPS),Wind Direction (R/L),Wind Count (#),Filament Diameter Actual (mm),Total Fiber Produced (m),Heater Current (mA),Spool DC Motor Current (mA),Stepper and 12V Current (mA),Total Power (W),Total Energy Used (Wh)
1590082624,58.987822,82.5,0.318596531,0.0005,0.25,0.158749679,0,0,82.02,0.0005,0.25185119,1,1,0.283,1.824460058,2029.6,46.57,543.4,31.43484,0.674919958
1590082625,59.990382,82.5,0.314022307,0.0005,0.25,0.15788252,0,0,82.14,0.0005,0.256390476,1,1,0.292,1.842436409,2007,45.82,510,30.75384,0.683836052
1590082626,60.990685,82.5,0.308590559,0.0005,0.25,0.156309301,0,0,82.24,0.0005,0.256429762,1,1,0.278,1.859222932,2113.8,46.18,536.8,32.36136,0.692580292
1590082627,61.987744,82.5,0.3066486,0.0005,0.25,0.157057686,0,0,82.33,0.0005,0.251434524,1,1,0.274,1.877051766,1939.2,46.85,546.4,32.18436,0.700775821
1590082628,62.997904,82.5,0.303542124,0.0005,0.25,0.155008949,0,0,82.34,0.0005,0.247290476,1,1,0.287,1.896892496,2090.4,46.38,525.4,31.1574,0.709747161
1590082629,63.987623,82.5,0.301609286,0.0005,0.25,0.156742703,0,0,82.47,0.0005,0.25185119,1,1,0.28,1.914755212,1855,46.64,546,29.37168,0.7184276
1590082630,65.000636,82.5,0.30042863,0.0005,0.25,0.166844014,0,0,82.54,0.0005,0.261009524,1,1,0.294,1.931781346,1892.2,49.49,578.4,30.24108,0.727229216
1590082631,65.993517,82.5,0.295585504,0.0005,0.25,0.157892939,0,0,82.56,0.0005,0.25185119,1,1,0.3,1.947828651,2016,46.87,577,31.67844,0.73587493
1590082632,66.998596,82.5,0.291513771,0.0005,0.25,0.154442269,0,0,82.67,0.0005,0.265577381,1,1,0.283,1.965040628,1918,44.27,554.4,30.20004,0.744512396
1590082633,68.00062,82.5,0.291871341,0.0005,0.25,0.154457353,0,0,82.76,0.0005,0.242720238,1,1,0.273,1.98399193,2012.4,47.02,562.6,31.46424,0.753078896
1590082634,68.990695,82.5,0.285700267,0.0005,0.25,0.155269559,0,0,82.74,0.0005,0.25185119,1,1,0.269,2.001979099,1867,45.58,550,31.17408,0.760885449
1590082635,69.995483,82.5,0.284733343,0.0005,0.25,0.155567367,0,0,82.87,0.0005,0.25185119,1,1,0.255,2.023236391,1835.4,46.12,572.8,31.04292,0.769411566
1590082636,70.994453,82.5,0.280099291,0.0005,0.25,0.15772037,0,0,82.91,0.0005,0.242720238,1,1,0.246,2.04749796,1818.6,47.36,523.6,28.67472,0.777688485
1590082637,71.989605,82.5,0.276224073,0.0005,0.25,0.15965404,0,0,83.09,0.0005,0.247195238,1,1,0.254,2.070089749,1823,48.45,558.6,29.1606,0.78609142
1590082638,72.998505,82.5,0.276321581,0.0005,0.25,0.155558033,0,0,83.02,0.0005,0.25645,1,1,0.242,2.093468761,1904.6,44.58,515.4,29.57496,0.794099832
1590082639,73.98771,82.5,0.272149824,0.0005,0.25,0.154904424,0,0,83.2,0.0005,0.251841667,1,1,0.257,2.118504271,1883,46.28,516.6,29.35056,0.802243659
1590082640,75.00052,82.5,0.268590166,0.0005,0.25,0.155636029,0,0,83.17,0.0005,0.247271429,1,1,0.251,2.140705152,1683.6,47.21,525.2,27.07212,0.810295427
1590082641,75.9874,82.5,0.266601861,0.0005,0.25,0.156949976,0,0,83.27,0.0005,0.247271429,1,1,0.26,2.16074198,1663.2,46.72,551,27.13104,0.81772269
1590082642,76.990603,82.5,0.265388453,0.0005,0.25,0.15558762,0,0,83.33,0.0005,0.247252381,1,1,0.268,2.181978693,1639.2,46.31,518,26.44212,0.825761712
