Time (s),Run A Diameter (mm),Run B Diameter (mm)
43.5,0.3686,0.354929
43.6,0.3686,0.354929
43.7,0.3686,0.354929
43.8,0.3686,0.354929
43.9,0.3686,0.341259
44,0.3686,0.341259
44.1,0.3686,0.341259
44.2,0.3686,0.341259
44.3,0.3686,0.341259
44.4,0.3686,0.341259
44.5,0.3686,0.354929
44.6,0.3686,0.354929
44.7,0.3686,0.341259
44.8,0.3686,0.341259
44.9,0.3686,0.341259
45,0.3686,0.341259
45.1,0.3686,0.341259
45.2,0.3686,0.341259
45.3,0.3686,0.341259
45.4,0.354929,0.341259
45.5,0.354929,0.341259
45.6,0.354929,0.341259
45.7,0.354929,0.341259
45.8,0.354929,0.341259
45.9,0.354929,0.327588
46,0.354929,0.327588
46.1,0.354929,0.327588
46.2,0.341259,0.327588
46.3,0.354929,0.327588
46.4,0.354929,0.327588
46.5,0.341259,0.327588
46.6,0.341259,0.327588
46.7,0.354929,0.327588
46.8,0.341259,0.327588
46.9,0.341259,0.327588
47,0.354929,0.313918
47.1,0.3686,0.313918
47.2,0.354929,0.327588
47.3,0.3686,0.327588
47.4,0.3686,0.327588
47.5,0.38227,0.327588
47.6,0.38227,0.327588
47.7,0.38227,0.327588
47.8,0.38227,0.341259
47.9,0.38227,0.341259
48,0.38227,0.341259
48.1,0.395941,0.341259
48.2,0.395941,0.341259
48.3,0.409611,0.341259
48.4,0.409611,0.341259
48.5,0.409611,0.341259
48.6,0.395941,0.341259
48.7,0.395941,0.341259
48.8,0.409611,0.354929
48.9,0.409611,0.354929
49,0.409611,0.3686
49.1,0.409611,0.354929
49.2,0.395941,0.354929
49.3,0.395941,0.354929
49.4,0.395941,0.354929
49.5,0.395941,0.354929
49.6,0.395941,0.354929
49.7,0.395941,0.354929
49.8,0.395941,0.354929
49.9,0.395941,0.354929
50,0.395941,0.354929
50.1,0.395941,0.354929
50.2,0.395941,0.354929
50.3,0.395941,0.354929
50.4,0.395941,0.354929
50.5,0.38227,0.354929
50.6,0.3686,0.354929
50.7,0.3686,0.354929
50.8,0.3686,0.354929
50.9,0.3686,0.354929
51,0.3686,0.354929
51.1,0.354929,0.354929
51.2,0.341259,0.354929
51.3,0.341259,0.354929
51.4,0.341259,0.354929
51.5,0.341259,0.354929
51.6,0.327588,0.354929
51.7,0.327588,0.354929
51.8,0.327588,0.354929
51.9,0.327588,0.341259
52,0.327588,0.341259
52.1,0.327588,0.341259
52.2,0.313918,0.327588
52.3,0.313918,0.341259
52.4,0.313918,0.341259
52.5,0.300248,0.341259
52.6,0.300248,0.341259
52.7,0.313918,0.341259
52.8,0.313918,0.341259
52.9,0.313918,0.327588
53,0.300248,0.341259
53.1,0.286577,0.341259
53.2,0.313918,0.341259
53.3,0.313918,0.341259
53.4,0.286577,0.341259
53.5,0.286577,0.341259
53.6,0.272907,0.327588
53.7,0.272907,0.327588
53.8,0.272907,0.327588
53.9,0.272907,0.327588
54,0.272907,0.341259
54.1,0.272907,0.341259
54.2,0.272907,0.341259
54.3,0.272907,0.327588
54.4,0.272907,0.327588
54.5,0.272907,0.327588
54.6,0.286577,0.341259
54.7,0.286577,0.341259
54.8,0.313918,0.327588
54.9,0.313918,0.327588
55,0.327588,0.327588
55.1,0.327588,0.327588
55.2,0.327588,0.327588
55.3,0.327588,0.327588
55.4,0.327588,0.327588
55.5,0.341259,0.327588
55.6,0.341259,0.327588
55.7,0.341259,0.327588
55.8,0.341259,0.327588
