Run Time (sec),Filament Feed Rate Set (RPS),Spool Wind Rate Set (RPS),Wind B-F Speed (PPS),Filament Diameter Set (mm),Spool Wind Rate Actual (RPS),Wind Count (#),Filament Diameter Actual (mm)
225.9852774,0.001,0.984081,127,0.21,0.982,2,0.199
226.9917626,0.001,0.985168,127,0.21,0.984,2,0.209
227.9911051,0.001,0.987441,127,0.21,0.983,2,0.219
228.982604,0.001,0.991349,127,0.21,0.985,2,0.238
229.9872842,0.001,1.00039,127,0.21,0.992,2,0.24
230.9863789,0.001,1.01445,127,0.21,1.002,2,0.247
231.9856718,0.001,1.02645,127,0.21,1.011,2,0.238
232.9877195,0.001,1.03712,127,0.21,1.027,2,0.236
233.989814,0.001,1.05038,127,0.21,1.039,2,0.237
234.9844611,0.001,1.06121,127,0.21,1.047,2,0.247
235.9843988,0.001,1.07114,127,0.21,1.06,2,0.237
236.9883962,0.001,1.08162,127,0.21,1.073,2,0.229
238.0044258,0.001,1.08641,127,0.21,1.077,2,0.211
239.0060229,0.001,1.08568,127,0.21,1.083,2,0.206
240.0352249,0.001,1.08378,127,0.21,1.084,2,0.212
240.9973054,0.001,1.08319,127,0.21,1.078,2,0.209
242.0189495,0.001,1.08186,127,0.21,1.085,2,0.202
243.0168178,0.001,1.0775,127,0.21,1.083,2,0.194
244.0178308,0.001,1.07246,127,0.21,1.077,2,0.19
245.0270605,0.001,1.06635,127,0.21,1.07,2,0.192
245.9887385,0.001,1.06109,127,0.21,1.064,2,0.201
246.9857635,0.001,1.05846,127,0.21,1.061,2,0.206
247.9851162,0.001,1.05762,127,0.21,1.058,2,0.207
248.9902062,0.001,1.05515,127,0.21,1.058,2,0.209
249.9868834,0.001,1.05323,127,0.21,1.057,2,0.209
250.9856336,0.001,1.05271,127,0.21,1.053,2,0.209
251.9854786,0.001,1.05064,127,0.21,1.048,2,0.216
252.9868922,0.001,1.05071,127,0.21,1.05,2,0.233
254.0494063,0.001,1.05616,127,0.21,1.051,2,0.206
255.0520732,0.001,1.05598,127,0.21,1.055,2,0.219
256.0652757,0.001,1.05956,127,0.21,1.058,2,0.21
257.083111,0.001,1.06354,127,0.21,1.064,2,0.208
257.9845054,0.001,1.06479,127,0.21,1.064,2,0.216
258.9889531,0.001,1.06582,127,0.21,1.064,2,0.213
259.9900568,0.001,1.06666,127,0.21,1.066,2,0.205
260.9855278,0.001,1.06631,127,0.21,1.065,2,0.213
