Run Time (sec),Filament Feed Rate Set (RPS),Spool Wind Rate Set (RPS),Wind B-F Speed (PPS),Filament Diameter Set (mm),Spool Wind Rate Actual (RPS),Wind Count (#),Filament Diameter Actual (mm)
222.0058117,0.001,1,127,0,1,2,0.196
223.0044739,0.001,1,127,0,1,2,0.188
224.0033762,0.001,1,127,0,1,2,0.19
225.0034802,0.001,1,127,0,1,2,0.199
226.0022488,0.001,1,127,0,1.001,2,0.21
227.0590959,0.001,1,127,0,1.004,2,0.215
228.0599575,0.001,1,127,0,1.002,2,0.201
229.0737257,0.001,1,127,0,1.002,2,0.21
230.0875123,0.001,1,127,0,1.001,2,0.232
231.0405891,0.001,1,127,0,1.001,2,0.222
232.042861,0.001,1,127,0,1.001,2,0.211
233.005712,0.001,1,127,0,1.002,2,0.211
234.0061152,0.001,1,127,0,1,2,0.233
235.0192606,0.001,1,127,0,0.998,2,0.22
236.0173461,0.001,1,127,0,1.001,2,0.201
237.0269065,0.001,1,127,0,1,2,0.216
238.0488837,0.001,1,127,0,1,2,0.225
239.0434513,0.001,1,127,0,0.996,2,0.217
240.042851,0.001,1,127,0,1.001,2,0.199
241.0012088,0.001,1,127,0,1.001,2,0.209
242.0032535,0.001,1,127,0,1,2,0.227
243.0008984,0.001,1,127,0,1.001,2,0.223
244.0019035,0.001,1,127,0,1.002,2,0.212
245.0047617,0.001,1,127,0,1.001,2,0.222
246.0133643,0.001,1,127,0,1.002,2,0.222
247.0048923,0.001,1,127,0,1,2,0.227
248.0028956,0.001,1,127,0,1.003,2,0.231
249.0043409,0.001,1,127,0,1,2,0.24
250.0028288,0.001,1,127,0,1,2,0.239
251.0031531,0.001,1,127,0,0.998,2,0.229
252.0023894,0.001,1,127,0,0.997,2,0.231
253.0026696,0.001,1,127,0,0.998,2,0.241
254.0076618,0.001,1,127,0,0.996,2,0.215
255.0008922,0.001,1,127,0,0.996,2,0.215
256.0030413,0.001,1,127,0,1.001,2,0.234
257.0019133,0.001,1,127,0,1.001,2,0.227
258.0050466,0.001,1,127,0,1.001,2,0.212
259.0072236,0.001,1,127,0,1.003,2,0.219
260.0012486,0.001,1,127,0,1.003,2,0.224
261.0017335,0.001,1,127,0,1.003,2,0.239
262.0009823,0.001,1,127,0,1.001,2,0.213
263.0158837,0.001,1,127,0,1.002,2,0.217
264.0043538,0.001,1,127,0,1.001,2,0.22
265.0064654,0.001,1,127,0,0.997,2,0.19
